title,body,agreement_type,guidance,tags
Change of control — notice only (buyer-friendly),"A change in the ownership or control of a party resulting from a transfer of shares, or a scheme, merger, amalgamation or reorganisation, does not constitute an assignment or novation of this agreement, and does not require the consent of the other party, provided that: (a) the affected party gives written notice within 20 Business Days after the change takes effect; and (b) the affected party remains bound by, and continues to perform, its obligations under this agreement.",MSA,"K&S preferred position for SaaS and supply agreements where the client is the customer. Use in negotiations to roll back vendor consent rights on a share sale. Pair with a continuity-of-service covenant where the counterparty is operationally critical (e.g. EHR).",change of control;SaaS;assignment;M&A
Change of control — consent not unreasonably withheld (fallback),"A party must not assign or novate this agreement, and must not undergo a change of control, without the prior written consent of the other party, which must not be unreasonably withheld or delayed. The other party must respond to a request for consent within 10 Business Days of receiving: (a) the identity and ownership structure of the incoming controller; (b) reasonable evidence of its financial standing; and (c) confirmation that the obligations under this agreement will continue unaffected. If no response is given within that period, consent is taken to have been given.",MSA,"Fallback where the counterparty will not give up a consent right entirely. The deemed-consent backstop and objective criteria are the essential protections — do not concede the clause without them.",change of control;consent;deemed consent;fallback
Data portability & export on exit,"On request by the Customer at any time, and in any event on expiry or termination of this agreement, the Supplier must: (a) provide a complete export of all Customer Data (including all patient, clinical and practice data) in an open, documented and machine-readable format agreed with the Customer (including HL7 FHIR or CSV); (b) complete each requested export within 10 Business Days of the request; (c) not limit the number or frequency of exports requested during any transition or migration period; and (d) not charge any fee for exports other than pre-agreed cost recovery for extraordinary volumes. The Supplier must not withhold, delay or degrade any export by reason of any dispute or negotiation between the parties.",MSA,"Core data-portability protection for the EHR migration. Sub-clause (d)'s no-withholding tail is the answer to 'staggered extracts' tactics. In diligence, compare the target's actual vendor terms against this standard.",data portability;export;EHR;migration;health data
Migration cooperation & assistance,"The Supplier must provide all assistance reasonably requested by the Customer to enable the orderly migration of Customer Data and services to the Customer or its nominee, including: (a) current data schemas, mapping documentation and interface specifications; (b) test extracts and participation in migration rehearsals; (c) support during agreed cutover windows, including out-of-hours support; and (d) a named migration contact with authority to resolve issues. Assistance under paragraphs (a) and (b) is included in the Charges; assistance under paragraphs (c) and (d) is charged at the Supplier's then-current published rates, capped at the amount set out in the Order Form.",MSA,"Use when negotiating transition/exit schedules with incumbent vendors. The named-contact and rehearsal obligations reflect the CIO's cutover-rehearsal requirements. Aligns with Option A go/no-go gates in the Week 2 analysis.",migration;cooperation;exit assistance;cutover;EHR
Interim licence during transition (variation),"Notwithstanding any change of control of the Customer: (a) this agreement continues in full force on its existing terms until the Migration Completion Date; (b) the Charges continue at the rates current at the date of the change of control, subject only to increases capped at CPI; (c) the Supplier must continue to provide the Services (including full read and write access to the platform and APIs) to the standard provided in the 12 months before the change of control; and (d) the parties must review progress against the Migration Plan at fortnightly intervals, with any read-only or reduced-access period limited to a single agreed cutover window not exceeding 48 hours.",MSA,"Draft variation for the MediTrax scenario (Option A). Locks in continuity and CPI-capped fees while giving the vendor a defined end date. The 48-hour cutover cap operationalises the 'no read-only at completion' playbook position.",interim licence;variation;change of control;continuity;EHR
SPA condition precedent — critical vendor cooperation,"Completion is conditional on the Buyer being reasonably satisfied, no later than 5 Business Days before the Completion Date, that: (a) the supplier of the electronic health records platform used by the Target has confirmed in writing that it consents to (or does not object to) the change of control of the Target effected by this agreement; and (b) that supplier has executed an interim licence or variation providing for continuity of full service (including read and write platform and API access) until completion of the data migration contemplated by the Migration Plan, on terms materially consistent with those set out in Schedule [x]. The Seller must provide all reasonable cooperation and must procure that the Target provides all reasonable cooperation to satisfy this condition.",other,"SPA conditionality for the EHR risk (RED item). Alternative treatments if the vendor will not engage in time: completion deliverable + specific indemnity, or price retention tied to migration milestones. Discuss trade-offs — a CP hands timetable control to the vendor.",SPA;condition precedent;EHR;vendor consent;completion
SPA condition precedent — landlord consents threshold,"Completion is conditional on the Seller delivering to the Buyer, no later than 2 Business Days before the Completion Date, written consents (or confirmations that consent is not required) from the lessors of at least 12 of the 16 Leasehold Premises, which must include each of the Premises listed in Part A of Schedule [x] (top premises by revenue), in each case: (a) unconditional, or subject only to conditions reasonably acceptable to the Buyer; and (b) without amendment to the commercial terms of the relevant Lease. For any Leasehold Premises for which consent has not been obtained by Completion, the parties must comply with the occupation and consent-pursuit obligations in Schedule [y].",other,"Threshold CP pattern balances deal certainty against the reality that 16 consents will not all land on an accelerated timetable. Part A/Part B split protects the revenue-critical sites; Schedule [y] typically contains licence-to-occupy and continued-pursuit mechanics.",SPA;condition precedent;landlord consent;leases;threshold
Employee transfer — recognition of service and entitlements,"With effect from Completion, the Buyer must procure that the Target continues to employ each Employee on terms and conditions (taken as a whole) no less favourable than those applying immediately before Completion, and that the Target: (a) recognises each Employee's period of continuous service with the Target for all purposes; (b) honours all accrued entitlements to annual leave, personal/carer's leave and long service leave; and (c) complies with all obligations arising under the Fair Work Act 2009 (Cth) and any applicable modern award or enterprise agreement in connection with the transaction, including any transfer-of-business provisions that may apply to related restructuring.",other,"On a share sale the employer entity does not change, so transfer-of-business provisions are usually not triggered by the sale itself — but they can be by post-completion restructures. Flag for students: verify the current Fair Work Act transfer-of-business provisions (Pt 2-8) before advising, and check award coverage for health professionals and support staff.",employment;Fair Work;entitlements;share sale;transfer of business
Privacy compliance warranty — health information,"The Seller warrants that: (a) the Target has at all times complied in all material respects with the Privacy Act 1988 (Cth), including the Australian Privacy Principles and, where applicable, the My Health Records Act 2012 (Cth) and state and territory health records legislation; (b) the Target has not, in the 3 years before the date of this agreement, suffered an eligible data breach requiring notification under Part IIIC of the Privacy Act 1988 (Cth), nor received any notice, complaint or investigation from the Office of the Australian Information Commissioner; and (c) all collection, use and disclosure of health information by the Target has been in accordance with the consents obtained from the individuals concerned.",other,"Healthcare-specific privacy warranty set. Students: verify the current citation form of the NDB provisions and any state health-records statutes (e.g. NSW/QLD) before use — legislation in this area changes; use the verification workflow.",privacy;APPs;health information;warranty;data breach
TSA exit assistance,"On expiry or earlier termination of any Service, the Provider must, at the Recipient's election: (a) deliver all data held in connection with that Service in an open, documented format within 10 Business Days; (b) provide knowledge transfer to the Recipient's personnel or incoming provider, including run-books, configurations and process documentation; and (c) continue to provide the Service for a run-off period of up to 30 days if requested. Exit assistance under this clause is included in the Charges for the relevant Service, and this clause survives expiry or termination of this agreement.",other,"Include in every Whitegum TSA. Interlocks with the EHR strategy: if MediTrax cooperation fails, the IT TSA becomes the fallback channel for data extracts (Option B), so its exit-assistance obligations must be watertight.",TSA;exit assistance;transition;data handover
Deed of consent to change of control (lease) — operative clause,"The Lessor consents to the change in the ownership and control of the Lessee effected by the acquisition of all of the shares in the Lessee by [NexaCare Health entity] on the terms of this deed. The consent: (a) takes effect on and from Completion (as defined in the Share Purchase Agreement); (b) is not conditional on any variation of the Lease or on any payment other than the Lessor's reasonable legal costs of this deed, capped at the amount in item [x]; and (c) does not affect the continuing obligations of the Lessee under the Lease. The Guarantor named in item [y] guarantees the Lessee's obligations under the Lease on and from Completion, and the Lessor releases the Outgoing Guarantors with effect from Completion.",other,"Template operative provisions for landlord consent deeds on a share sale. Adjust per lease: some Whitegum leases catch change of control expressly; others arguably do not require consent at all on a share sale — check the consent trigger first (see lease review tabular columns).",lease;landlord consent;deed;guarantee;change of control
